day,station_id,station_name,latitude,longitude,total_rainfall
2022-01-02,S211,S211,1.42918,103.75711,37.96099999999999
2022-01-02,S212,S212,1.31835,103.93574,39.19999999999999
2022-01-02,S213,S213,1.32427,103.8097,99.4
2022-01-02,S214,S214,1.29911,103.88289,36.64199999999995
2022-01-02,S215,GEYLANG EAST CENTRAL,1.32785,103.88899,40.599999999999994
2022-01-02,S216,S216,1.36019,103.85335,75.48000000000002
2022-01-02,S217,S217,1.35041,103.85526,79.98200000000001
2022-01-02,S218,S218,1.36491,103.75065,45.08400000000003
2022-01-02,S219,S219,1.37999,103.87643,66.73200000000001
2022-01-02,S220,S220,1.38666,103.89797,65.77199999999999
2022-01-02,S221,S221,1.35691,103.89088,57.222000000000065
2022-01-02,S222,S222,1.28987,103.82364,42.61200000000003
2022-01-02,S223,S223,1.29984,103.80264,54.810000000000024
2022-01-02,S224,S224,1.34392,103.98409,38.19000000000004
2022-01-02,S226,S226,1.27472,103.80389,36.99999999999999
2022-01-02,S227,S227,1.43944,103.80389,83.22400000000002
2022-01-02,S228,S228,1.34703,103.70073,27.52200000000003
2022-01-02,S229,S229,1.35167,103.72195,50.95300000000001
2022-01-02,S230,S230,1.30167,103.76444,50.20000000000001
2022-01-02,S24,Upper Changi Road North,1.3678,103.9826,50.600000000000065
2022-01-02,S33,Jurong Pier Road,1.3081,103.71,45.4
2022-01-02,S35,,,,0.4
2022-01-02,S40,Mandai Lake Road,1.4044,103.78962,97.19999999999996
2022-01-02,S43,Kim Chuan Road,1.3399,103.8878,64.60000000000002
2022-01-02,S44,Nanyang Avenue,1.34583,103.68166,22.999999999999982
2022-01-02,S50,Clementi Road,1.3337,103.7768,63.6
2022-01-02,S69,Upper Peirce Reservoir Park,1.37,103.805,95.39999999999998
2022-01-02,S71,Kent Ridge Road,1.2923,103.7815,37.599999999999994
2022-01-02,S77,Alexandra Road,1.2937,103.8125,45.80000000000005
2022-01-02,S78,Poole Road,1.30703,103.89067,43.80000000000001
2022-01-02,S79,Somerset Road,1.3004,103.8372,45.0
2022-01-02,S81,Punggol Central,1.4029,103.9092,77.00000000000001
2022-01-02,S82,Tuas West Road,1.3247,103.6351,19.19999999999999
2022-01-02,S84,Simei Avenue,1.3437,103.9444,49.000000000000014
2022-01-02,S88,Toa Payoh North,1.3427,103.8482,87.00000000000003
2022-01-02,S89,Tuas Road,1.31985,103.66162,20.199999999999985
2022-01-02,S90,Bukit Timah Road,1.3191,103.8191,95.0
2022-01-02,S900,Seletar Aerospace View,1.41284,103.86922,79.8
2022-01-02,S94,Pasir Ris Street 51,1.3662,103.9528,54.60000000000005
2022-01-03,S08,Upper Thomson Road,1.3701,103.8271,0.8
2022-01-03,S100,Woodlands Road,1.4172,103.74855,0.4
2022-01-03,S104,Woodlands Avenue 9,1.44387,103.78538,0.8
2022-01-03,S107,East Coast Parkway,1.3135,103.9625,5.000000000000001
2022-01-03,S108,Marina Gardens Drive,1.2799,103.8703,0.8
2022-01-03,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,2.4000000000000004
2022-01-03,S111,Scotts Road,1.31055,103.8365,2.4000000000000004
2022-01-03,S112,Lim Chu Kang Road,1.43854,103.70131,0.8
2022-01-03,S113,Marine Parade Road,1.30648,103.9104,7.000000000000001
2022-01-03,S114,Choa Chu Kang Avenue 4,1.38,103.73,1.2
2022-01-03,S115,Tuas South Avenue 3,1.29377,103.61843,1.0
2022-01-03,S116,West Coast Highway,1.281,103.754,1.6
2022-01-03,S118,Handy Road,1.2994,103.8461,2.4000000000000004
2022-01-03,S119,Nicoll Highway,1.30105,103.8666,2.0
2022-01-03,S120,Holland Road,1.30874,103.818,4.6000000000000005
2022-01-03,S121,Old Choa Chu Kang Road,1.37288,103.72244,5.2
2022-01-03,S123,Towner Road,1.3214,103.8577,1.2
2022-01-03,S201,S201,1.32311,103.76714,5.3999999999999995
2022-01-03,S202,S202,1.30968,103.7578,9.292
2022-01-03,S203,S203,1.29164,103.7702,8.844000000000001
2022-01-03,S204,S204,1.40081,103.88217,3.618
2022-01-03,S205,S205,1.38829,103.9116,4.691999999999999
2022-01-03,S207,S207,1.32485,103.95836,3.618
2022-01-03,S208,S208,1.3136,104.00317,9.18
2022-01-03,S209,S209,1.42111,103.84472,0.202
2022-01-03,S210,S210,1.44003,103.76904,0.603
2022-01-03,S211,S211,1.42918,103.75711,1.2180000000000002
2022-01-03,S212,S212,1.31835,103.93574,9.599999999999998
2022-01-03,S213,S213,1.32427,103.8097,1.7999999999999998
2022-01-03,S214,S214,1.29911,103.88289,0.591
2022-01-03,S215,GEYLANG EAST CENTRAL,1.32785,103.88899,1.827
2022-01-03,S216,S216,1.36019,103.85335,1.02
2022-01-03,S217,S217,1.35041,103.85526,0.591
2022-01-03,S218,S218,1.36491,103.75065,2.4480000000000004
2022-01-03,S219,S219,1.37999,103.87643,1.608
2022-01-03,S220,S220,1.38666,103.89797,4.263
2022-01-03,S221,S221,1.35691,103.89088,6.930000000000001
2022-01-03,S222,S222,1.28987,103.82364,2.613
2022-01-03,S223,S223,1.29984,103.80264,4.669
2022-01-03,S224,S224,1.34392,103.98409,6.833999999999999
2022-01-03,S226,S226,1.27472,103.80389,6.6000000000000005
2022-01-03,S227,S227,1.43944,103.80389,0.6060000000000001
2022-01-03,S228,S228,1.34703,103.70073,1.584
2022-01-03,S229,S229,1.35167,103.72195,7.105000000000001
2022-01-03,S230,S230,1.30167,103.76444,6.4
2022-01-03,S24,Upper Changi Road North,1.3678,103.9826,6.200000000000001
2022-01-03,S33,Jurong Pier Road,1.3081,103.71,1.7999999999999998
2022-01-03,S36,Upper Serangoon Road,1.3382,103.8657,0.0
2022-01-03,S40,Mandai Lake Road,1.4044,103.78962,1.0
2022-01-03,S43,Kim Chuan Road,1.3399,103.8878,1.4
2022-01-03,S44,Nanyang Avenue,1.34583,103.68166,2.4000000000000004
2022-01-03,S50,Clementi Road,1.3337,103.7768,1.8
2022-01-03,S66,Kranji Way,1.4387,103.7363,0.6000000000000001
2022-01-03,S69,Upper Peirce Reservoir Park,1.37,103.805,0.4
2022-01-03,S71,Kent Ridge Road,1.2923,103.7815,9.4
2022-01-03,S77,Alexandra Road,1.2937,103.8125,3.0000000000000004
2022-01-03,S78,Poole Road,1.30703,103.89067,1.0
2022-01-03,S79,Somerset Road,1.3004,103.8372,2.2
2022-01-03,S81,Punggol Central,1.4029,103.9092,9.199999999999998
2022-01-03,S82,Tuas West Road,1.3247,103.6351,1.2
