day,station_id,station_name,latitude,longitude,aggregated_value
2017-01-01,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,85.37390396659723
2017-01-01,S117,Banyan Road,1.256,103.679,84.80146239554301
2017-01-01,S107,East Coast Parkway,1.3135,103.9625,84.31711899791233
2017-01-01,S43,Kim Chuan Road,1.3399,103.8878,82.86949860724235
2017-01-01,S108,Marina Gardens Drive,1.2799,103.8703,85.29141660851361
2017-01-01,S106,Pulau Ubin,1.4168,103.9673,90.45729468599042
2017-01-01,S06,S06,1.3524,103.9007,74.38343771746695
2017-01-01,S96,Tanah Merah Coast Road,1.3175,104.0307,81.21739735560193
2017-01-01,S115,Tuas South Avenue 3,1.29377,103.61843,84.60140056022396
2017-01-01,S24,Upper Changi Road North,1.3678,103.9826,86.06195121951214
2017-01-01,S116,West Coast Highway,1.281,103.754,91.65161290322601
2017-01-01,S104,Woodlands Avenue 9,1.44387,103.78538,91.68595744680849
2017-01-01,S100,Woodlands Road,1.4172,103.74855,84.00376044568252
2017-01-01,S102,Semakau Landfill,1.189,103.768,87.66053097345132
2017-01-01,S122,Sembawang Road,1.41731,103.8249,80.26787479406923
2017-01-01,S24B,Upper Changi Road North,1.3678,103.998,93.83676975945019
2017-01-01,S44,Nanyang Avenue,1.34583,103.68166,80.53686006825949
2017-01-01,S121,Old Choa Chu Kang Road,1.37288,103.72244,77.6372641509434
2017-01-02,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,89.03527874564448
2017-01-02,S117,Banyan Road,1.256,103.679,89.4296733842945
2017-01-02,S107,East Coast Parkway,1.3135,103.9625,86.80055594162604
2017-01-02,S43,Kim Chuan Road,1.3399,103.8878,87.57625000000009
2017-01-02,S108,Marina Gardens Drive,1.2799,103.8703,87.48193189715096
2017-01-02,S06,S06,1.3524,103.9007,82.42430555555555
2017-01-02,S96,Tanah Merah Coast Road,1.3175,104.0307,82.98769979152169
2017-01-02,S115,Tuas South Avenue 3,1.29377,103.61843,88.05392633773467
2017-01-02,S24,Upper Changi Road North,1.3678,103.9826,89.47824878387766
2017-01-02,S116,West Coast Highway,1.281,103.754,95.50410292072334
2017-01-02,S104,Woodlands Avenue 9,1.44387,103.78538,94.79256097560993
2017-01-02,S100,Woodlands Road,1.4172,103.74855,90.45820584144685
2017-01-02,S106,Pulau Ubin,1.4168,103.9673,94.32218091697654
2017-01-02,S102,Semakau Landfill,1.189,103.768,89.05433476394848
2017-01-02,S122,Sembawang Road,1.41731,103.8249,75.7538461538462
2017-01-02,S121,Old Choa Chu Kang Road,1.37288,103.72244,86.81720430107526
2017-01-02,S44,Nanyang Avenue,1.34583,103.68166,80.43829787234041
2017-01-03,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,89.21208333333331
2017-01-03,S117,Banyan Road,1.256,103.679,80.95712300208474
2017-01-03,S107,East Coast Parkway,1.3135,103.9625,87.63356497567759
2017-01-03,S43,Kim Chuan Road,1.3399,103.8878,85.43541666666675
2017-01-03,S108,Marina Gardens Drive,1.2799,103.8703,86.69854065323138
2017-01-03,S106,Pulau Ubin,1.4168,103.9673,94.09965714285708
2017-01-03,S06,S06,1.3524,103.9007,79.04027777777777
2017-01-03,S102,Semakau Landfill,1.189,103.768,85.22113055181686
2017-01-03,S96,Tanah Merah Coast Road,1.3175,104.0307,83.24881944444445
2017-01-03,S115,Tuas South Avenue 3,1.29377,103.61843,82.95112563543931
2017-01-03,S24,Upper Changi Road North,1.3678,103.9826,88.87984711605296
2017-01-03,S116,West Coast Highway,1.281,103.754,89.97783182765815
2017-01-03,S100,Woodlands Road,1.4172,103.74855,85.06045865184132
2017-01-03,S104,Woodlands Avenue 9,1.44387,103.78538,92.17148148148149
2017-01-03,S44,Nanyang Avenue,1.34583,103.68166,78.39332321699553
2017-01-03,S121,Old Choa Chu Kang Road,1.37288,103.72244,84.73029612756264
2017-01-03,S122,Sembawang Road,1.41731,103.8249,81.70735586481112
2017-01-04,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,80.17227241139683
2017-01-04,S117,Banyan Road,1.256,103.679,73.90611535788746
2017-01-04,S107,East Coast Parkway,1.3135,103.9625,82.92923611111097
2017-01-04,S43,Kim Chuan Road,1.3399,103.8878,79.5266666666667
2017-01-04,S108,Marina Gardens Drive,1.2799,103.8703,78.48457261987485
2017-01-04,S44,Nanyang Avenue,1.34583,103.68166,71.65742821473155
2017-01-04,S121,Old Choa Chu Kang Road,1.37288,103.72244,77.31530864197539
2017-01-04,S106,Pulau Ubin,1.4168,103.9673,89.55302013422808
2017-01-04,S06,S06,1.3524,103.9007,73.15625
2017-01-04,S102,Semakau Landfill,1.189,103.768,79.22707889125806
2017-01-04,S96,Tanah Merah Coast Road,1.3175,104.0307,80.21002906976747
2017-01-04,S24,Upper Changi Road North,1.3678,103.9826,85.61744266851977
2017-01-04,S116,West Coast Highway,1.281,103.754,83.52918693537174
2017-01-04,S104,Woodlands Avenue 9,1.44387,103.78538,85.79951876804618
2017-01-04,S100,Woodlands Road,1.4172,103.74855,76.48150208623115
2017-01-04,S115,Tuas South Avenue 3,1.29377,103.61843,77.85473163841809
2017-01-04,S122,Sembawang Road,1.41731,103.8249,70.92798165137613
2017-01-04,S24B,Upper Changi Road North,1.3678,103.998,99.31818181818184
2017-01-05,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,71.93652777777775
2017-01-05,S117,Banyan Road,1.256,103.679,68.16562282533071
2017-01-05,S107,East Coast Parkway,1.3135,103.9625,74.73968033356505
2017-01-05,S43,Kim Chuan Road,1.3399,103.8878,71.66847222222212
2017-01-05,S108,Marina Gardens Drive,1.2799,103.8703,70.490959666203
2017-01-05,S44,Nanyang Avenue,1.34583,103.68166,66.69366053169745
2017-01-05,S121,Old Choa Chu Kang Road,1.37288,103.72244,70.66582278481013
2017-01-05,S06,S06,1.3524,103.9007,65.18109668109668
2017-01-05,S102,Semakau Landfill,1.189,103.768,76.79487369985134
2017-01-05,S96,Tanah Merah Coast Road,1.3175,104.0307,74.06689847009761
2017-01-05,S115,Tuas South Avenue 3,1.29377,103.61843,73.21363316936063
2017-01-05,S24,Upper Changi Road North,1.3678,103.9826,77.3711592178771
2017-01-05,S116,West Coast Highway,1.281,103.754,76.14913134120924
2017-01-05,S104,Woodlands Avenue 9,1.44387,103.78538,78.38685015290508
2017-01-05,S100,Woodlands Road,1.4172,103.74855,70.84517025712297
2017-01-05,S106,Pulau Ubin,1.4168,103.9673,82.53449001051521
2017-01-05,S122,Sembawang Road,1.41731,103.8249,65.54228274967566
2017-01-05,S24B,Upper Changi Road North,1.3678,103.998,77.9070496083551
2017-01-05,S97,Pioneer Sector 2,1.29389,103.66407,80.73333333333333
2017-01-06,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,75.72180555555548
2017-01-06,S117,Banyan Road,1.256,103.679,73.67831827658101
2017-01-06,S107,East Coast Parkway,1.3135,103.9625,83.39388888888891
2017-01-06,S43,Kim Chuan Road,1.3399,103.8878,76.14669909659496
2017-01-06,S108,Marina Gardens Drive,1.2799,103.8703,76.39534398888114
2017-01-06,S44,Nanyang Avenue,1.34583,103.68166,64.69169472502806
2017-01-06,S121,Old Choa Chu Kang Road,1.37288,103.72244,68.72276330690822
2017-01-06,S06,S06,1.3524,103.9007,69.28630993745656
2017-01-06,S60,Sentosa,1.25,103.8279,61.11449664429523
2017-01-06,S96,Tanah Merah Coast Road,1.3175,104.0307,80.18326388888916
2017-01-06,S115,Tuas South Avenue 3,1.29377,103.61843,76.22326768781906
2017-01-06,S24,Upper Changi Road North,1.3678,103.9826,81.66233495482967
2017-01-06,S116,West Coast Highway,1.281,103.754,81.28721334259893
2017-01-06,S104,Woodlands Avenue 9,1.44387,103.78538,72.714708994709
2017-01-06,S100,Woodlands Road,1.4172,103.74855,73.36736256089078
2017-01-06,S106,Pulau Ubin,1.4168,103.9673,84.84211248285321
2017-01-06,S122,Sembawang Road,1.41731,103.8249,68.42116689280873
2017-01-06,S102,Semakau Landfill,1.189,103.768,81.668281938326
2017-01-06,S24B,Upper Changi Road North,1.3678,103.998,98.17924528301889
2017-01-07,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,68.65541666666661
2017-01-07,S117,Banyan Road,1.256,103.679,69.0669214732452
2017-01-07,S107,East Coast Parkway,1.3135,103.9625,82.7712300208479
2017-01-07,S43,Kim Chuan Road,1.3399,103.8878,71.79618055555552
2017-01-07,S108,Marina Gardens Drive,1.2799,103.8703,74.6722531293463
2017-01-07,S44,Nanyang Avenue,1.34583,103.68166,60.24849368318767
2017-01-07,S121,Old Choa Chu Kang Road,1.37288,103.72244,59.71957964601769
2017-01-07,S106,Pulau Ubin,1.4168,103.9673,78.18097754293265
2017-01-07,S06,S06,1.3524,103.9007,66.19110493398193
2017-01-07,S102,Semakau Landfill,1.189,103.768,78.92344531808435
2017-01-07,S60,Sentosa,1.25,103.8279,70.3926934097421
2017-01-07,S96,Tanah Merah Coast Road,1.3175,104.0307,76.99687065368562
2017-01-07,S115,Tuas South Avenue 3,1.29377,103.61843,72.02658757850652
2017-01-07,S24,Upper Changi Road North,1.3678,103.9826,79.01460361613343
2017-01-07,S116,West Coast Highway,1.281,103.754,73.59874913134125
2017-01-07,S104,Woodlands Avenue 9,1.44387,103.78538,70.6517302573202
2017-01-07,S100,Woodlands Road,1.4172,103.74855,67.87093184979132
2017-01-07,S122,Sembawang Road,1.41731,103.8249,61.995381062355605
2017-01-07,S24B,Upper Changi Road North,1.3678,103.998,76.29734660033165
2017-01-08,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,69.88916666666644
2017-01-08,S117,Banyan Road,1.256,103.679,69.15615010423912
2017-01-08,S107,East Coast Parkway,1.3135,103.9625,82.07213342599012
2017-01-08,S43,Kim Chuan Road,1.3399,103.8878,72.89471488178027
2017-01-08,S108,Marina Gardens Drive,1.2799,103.8703,74.620361362057
2017-01-08,S44,Nanyang Avenue,1.34583,103.68166,59.636637931034514
2017-01-08,S121,Old Choa Chu Kang Road,1.37288,103.72244,64.70466804979256
2017-01-08,S106,Pulau Ubin,1.4168,103.9673,78.00704545454536
2017-01-08,S06,S06,1.3524,103.9007,67.23002084781098
2017-01-08,S102,Semakau Landfill,1.189,103.768,83.42375737152477
2017-01-08,S60,Sentosa,1.25,103.8279,67.84323630136988
2017-01-08,S96,Tanah Merah Coast Road,1.3175,104.0307,77.49867963863797
2017-01-08,S115,Tuas South Avenue 3,1.29377,103.61843,72.15551675977656
2017-01-08,S24,Upper Changi Road North,1.3678,103.9826,79.53356497567755
2017-01-08,S116,West Coast Highway,1.281,103.754,75.60152883947177
2017-01-08,S104,Woodlands Avenue 9,1.44387,103.78538,71.00565529622973
2017-01-08,S100,Woodlands Road,1.4172,103.74855,68.33516330785268
2017-01-08,S122,Sembawang Road,1.41731,103.8249,64.17215909090912
2017-01-08,S24B,Upper Changi Road North,1.3678,103.998,86.20039999999995
2017-01-09,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,77.60916666666661
2017-01-09,S117,Banyan Road,1.256,103.679,70.00800278357691
2017-01-09,S107,East Coast Parkway,1.3135,103.9625,83.59777777777786
2017-01-09,S43,Kim Chuan Road,1.3399,103.8878,79.72557331480208
2017-01-09,S108,Marina Gardens Drive,1.2799,103.8703,76.88471160528141
2017-01-09,S44,Nanyang Avenue,1.34583,103.68166,71.75935875216629
2017-01-09,S121,Old Choa Chu Kang Road,1.37288,103.72244,77.24453477868111
2017-01-09,S106,Pulau Ubin,1.4168,103.9673,88.28669856459338
2017-01-09,S06,S06,1.3524,103.9007,71.13064628214038
2017-01-09,S102,Semakau Landfill,1.189,103.768,79.18216409036867
2017-01-09,S60,Sentosa,1.25,103.8279,69.1100786275911
2017-01-09,S96,Tanah Merah Coast Road,1.3175,104.0307,80.61222222222217
2017-01-09,S115,Tuas South Avenue 3,1.29377,103.61843,74.58848056537096
2017-01-09,S24,Upper Changi Road North,1.3678,103.9826,83.75917941585531
2017-01-09,S116,West Coast Highway,1.281,103.754,79.92846207376486
2017-01-09,S104,Woodlands Avenue 9,1.44387,103.78538,84.30242976461665
2017-01-09,S100,Woodlands Road,1.4172,103.74855,71.73460736622654
