day,station_id,station_name,latitude,longitude,aggregated_value
2019-01-01,S50,Clementi Road,1.3337,103.7768,75.06555090655522
2019-01-01,S107,East Coast Parkway,1.3135,103.9625,77.37054317548744
2019-01-01,S43,Kim Chuan Road,1.3399,103.8878,72.62374651810576
2019-01-01,S108,Marina Gardens Drive,1.2799,103.8703,72.73200568990045
2019-01-01,S106,Pulau Ubin,1.4168,103.9673,80.17212257100155
2019-01-01,S111,Scotts Road,1.31055,103.8365,71.45502092050208
2019-01-01,S115,Tuas South Avenue 3,1.29377,103.61843,78.36635105608163
2019-01-01,S24,Upper Changi Road North,1.3678,103.9826,74.64149232914927
2019-01-01,S116,West Coast Highway,1.281,103.754,81.3070162481537
2019-01-01,S100,Woodlands Road,1.4172,103.74855,73.77320807237285
2019-01-01,S122,Sembawang Road,1.41731,103.8249,90.32222222222224
2019-01-02,S50,Clementi Road,1.3337,103.7768,72.2274058577405
2019-01-02,S107,East Coast Parkway,1.3135,103.9625,70.36404181184685
2019-01-02,S43,Kim Chuan Road,1.3399,103.8878,69.69783972125437
2019-01-02,S108,Marina Gardens Drive,1.2799,103.8703,67.367812061711
2019-01-02,S121,Old Choa Chu Kang Road,1.37288,103.72244,76.35212435233156
2019-01-02,S106,Pulau Ubin,1.4168,103.9673,74.16688172043013
2019-01-02,S111,Scotts Road,1.31055,103.8365,70.12212142358688
2019-01-02,S60,Sentosa,1.25,103.8279,62.8591439688716
2019-01-02,S115,Tuas South Avenue 3,1.29377,103.61843,75.18944011339482
2019-01-02,S24,Upper Changi Road North,1.3678,103.9826,70.05140045420136
2019-01-02,S116,West Coast Highway,1.281,103.754,81.54076655052256
2019-01-02,S100,Woodlands Road,1.4172,103.74855,71.52930914166076
2019-01-02,S122,Sembawang Road,1.41731,103.8249,79.75788288288284
2019-01-02,S44,Nanyang Avenue,1.34583,103.68166,74.375
2019-01-03,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,69.38862815884484
2019-01-03,S50,Clementi Road,1.3337,103.7768,76.52836778332147
2019-01-03,S107,East Coast Parkway,1.3135,103.9625,75.1461592178772
2019-01-03,S43,Kim Chuan Road,1.3399,103.8878,74.324860724234
2019-01-03,S108,Marina Gardens Drive,1.2799,103.8703,74.13262561924982
2019-01-03,S106,Pulau Ubin,1.4168,103.9673,74.81597899474869
2019-01-03,S111,Scotts Road,1.31055,103.8365,74.66212438853952
2019-01-03,S122,Sembawang Road,1.41731,103.8249,79.10358598207002
2019-01-03,S60,Sentosa,1.25,103.8279,73.65073684210522
2019-01-03,S115,Tuas South Avenue 3,1.29377,103.61843,78.97029702970282
2019-01-03,S24,Upper Changi Road North,1.3678,103.9826,70.57738693467327
2019-01-03,S116,West Coast Highway,1.281,103.754,85.56180798878778
2019-01-03,S104,Woodlands Avenue 9,1.44387,103.78538,70.82481481481476
2019-01-03,S100,Woodlands Road,1.4172,103.74855,73.35782122905012
2019-01-03,S121,Old Choa Chu Kang Road,1.37288,103.72244,77.63600746268659
2019-01-04,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,67.87347696879648
2019-01-04,S117,Banyan Road,1.256,103.679,68.31629834254143
2019-01-04,S50,Clementi Road,1.3337,103.7768,69.45452616690241
2019-01-04,S107,East Coast Parkway,1.3135,103.9625,69.16421125781797
2019-01-04,S43,Kim Chuan Road,1.3399,103.8878,67.23974982626831
2019-01-04,S108,Marina Gardens Drive,1.2799,103.8703,66.38160511363638
2019-01-04,S106,Pulau Ubin,1.4168,103.9673,72.15793201133143
2019-01-04,S111,Scotts Road,1.31055,103.8365,67.99166087560815
2019-01-04,S122,Sembawang Road,1.41731,103.8249,74.8397496087637
2019-01-04,S60,Sentosa,1.25,103.8279,69.39819067501742
2019-01-04,S115,Tuas South Avenue 3,1.29377,103.61843,74.35177304964542
2019-01-04,S24,Upper Changi Road North,1.3678,103.9826,65.13384294649062
2019-01-04,S116,West Coast Highway,1.281,103.754,78.91382904794989
2019-01-04,S104,Woodlands Avenue 9,1.44387,103.78538,67.47234190410003
2019-01-04,S100,Woodlands Road,1.4172,103.74855,66.8069492703267
2019-01-04,S44,Nanyang Avenue,1.34583,103.68166,78.82222222222222
2019-01-04,S121,Old Choa Chu Kang Road,1.37288,103.72244,87.09677419354838
2019-01-05,S117,Banyan Road,1.256,103.679,78.5787352328006
2019-01-05,S50,Clementi Road,1.3337,103.7768,80.08708100558658
2019-01-05,S107,East Coast Parkway,1.3135,103.9625,84.1291869353717
2019-01-05,S43,Kim Chuan Road,1.3399,103.8878,80.74940931202228
2019-01-05,S121,Old Choa Chu Kang Road,1.37288,103.72244,76.73761467889904
2019-01-05,S106,Pulau Ubin,1.4168,103.9673,88.80889370932753
2019-01-05,S111,Scotts Road,1.31055,103.8365,76.0077136900625
2019-01-05,S60,Sentosa,1.25,103.8279,74.41262203626205
2019-01-05,S115,Tuas South Avenue 3,1.29377,103.61843,76.85997161107173
2019-01-05,S24,Upper Changi Road North,1.3678,103.9826,81.72202918693549
2019-01-05,S116,West Coast Highway,1.281,103.754,84.55316191799871
2019-01-05,S104,Woodlands Avenue 9,1.44387,103.78538,79.68728283530223
2019-01-05,S100,Woodlands Road,1.4172,103.74855,77.73897007654841
2019-01-05,S44,Nanyang Avenue,1.34583,103.68166,73.80000000000001
2019-01-05,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,84.7966756513926
2019-01-05,S122,Sembawang Road,1.41731,103.8249,75.75141065830724
2019-01-05,S108,Marina Gardens Drive,1.2799,103.8703,76.82561983471075
2019-01-06,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,76.62036441586277
2019-01-06,S117,Banyan Road,1.256,103.679,76.86956824512512
2019-01-06,S50,Clementi Road,1.3337,103.7768,79.56914968376677
2019-01-06,S107,East Coast Parkway,1.3135,103.9625,81.21957989497382
2019-01-06,S43,Kim Chuan Road,1.3399,103.8878,81.74371091035461
2019-01-06,S108,Marina Gardens Drive,1.2799,103.8703,72.96822916666667
2019-01-06,S121,Old Choa Chu Kang Road,1.37288,103.72244,78.03219512195109
2019-01-06,S106,Pulau Ubin,1.4168,103.9673,84.48175235336723
2019-01-06,S111,Scotts Road,1.31055,103.8365,75.75024322446131
2019-01-06,S60,Sentosa,1.25,103.8279,72.175
2019-01-06,S115,Tuas South Avenue 3,1.29377,103.61843,75.23738384560424
2019-01-06,S24,Upper Changi Road North,1.3678,103.9826,79.69305072967354
2019-01-06,S116,West Coast Highway,1.281,103.754,83.67810979847116
2019-01-06,S104,Woodlands Avenue 9,1.44387,103.78538,79.51299513551074
2019-01-06,S100,Woodlands Road,1.4172,103.74855,75.79652052887936
2019-01-06,S44,Nanyang Avenue,1.34583,103.68166,62.8923076923077
2019-01-06,S122,Sembawang Road,1.41731,103.8249,74.5094928478543
2019-01-07,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,81.27039610840875
2019-01-07,S117,Banyan Road,1.256,103.679,72.32915796798885
2019-01-07,S50,Clementi Road,1.3337,103.7768,75.72111189303321
2019-01-07,S107,East Coast Parkway,1.3135,103.9625,77.75476025017359
2019-01-07,S43,Kim Chuan Road,1.3399,103.8878,77.41224773834358
2019-01-07,S108,Marina Gardens Drive,1.2799,103.8703,74.37185714285708
2019-01-07,S121,Old Choa Chu Kang Road,1.37288,103.72244,73.88711699164342
2019-01-07,S106,Pulau Ubin,1.4168,103.9673,80.09002108222066
2019-01-07,S111,Scotts Road,1.31055,103.8365,71.89420391061446
2019-01-07,S60,Sentosa,1.25,103.8279,69.09555246699102
2019-01-07,S115,Tuas South Avenue 3,1.29377,103.61843,69.4372606774667
2019-01-07,S24,Upper Changi Road North,1.3678,103.9826,75.95100764419719
2019-01-07,S116,West Coast Highway,1.281,103.754,79.98658790826973
