day,station_id,station_name,latitude,longitude,total_rainfall
2019-01-01,S105,Admiralty Road West,1.45817,103.79525,0.0
2019-01-01,S77,Alexandra Road,1.2937,103.8125,3.1999999999999997
2019-01-01,S55,Buangkok Green,1.3837,103.886,0.0
2019-01-01,S64,Bukit Panjang Road,1.3824,103.7603,0.8
2019-01-01,S90,Bukit Timah Road,1.3191,103.8191,0.0
2019-01-01,S61,Chai Chee Street,1.323,103.9217,0.0
2019-01-01,S114,Choa Chu Kang Avenue 4,1.38,103.73,1.8
2019-01-01,S11,Choa Chu Kang Road,1.3746,103.6938,13.4
2019-01-01,S50,Clementi Road,1.3337,103.7768,3.0
2019-01-01,S107,East Coast Parkway,1.3135,103.9625,1.0
2019-01-01,S118,Handy Road,1.2994,103.8461,0.0
2019-01-01,S120,Holland Road,1.30874,103.818,1.0
2019-01-01,S33,Jurong Pier Road,1.3081,103.71,19.999999999999996
2019-01-01,S43,Kim Chuan Road,1.3399,103.8878,0.4
2019-01-01,S112,Lim Chu Kang Road,1.43854,103.70131,3.5999999999999996
2019-01-01,S07,Lornie Road,1.3415,103.8334,0.2
2019-01-01,S40,Mandai Lake Road,1.4044,103.78962,0.0
2019-01-01,S108,Marina Gardens Drive,1.2799,103.8703,0.0
2019-01-01,S113,Marine Parade Road,1.30648,103.9104,0.2
2019-01-01,S44,Nanyang Avenue,1.34583,103.68166,21.599999999999998
2019-01-01,S119,Nicoll Highway,1.30105,103.8666,0.0
2019-01-01,S121,Old Choa Chu Kang Road,1.37288,103.72244,8.0
2019-01-01,S35,Old Toh Tuck Road,1.3329,103.7556,10.0
2019-01-01,S29,Pasir Ris Drive 12,1.387,103.935,0.0
2019-01-01,S94,Pasir Ris Street 51,1.3662,103.9528,0.0
2019-01-01,S78,Poole Road,1.30703,103.89067,0.0
2019-01-01,S106,Pulau Ubin,1.4168,103.9673,0.0
2019-01-01,S81,Punggol Central,1.4029,103.9092,0.0
2019-01-01,S111,Scotts Road,1.31055,103.8365,0.2
2019-01-01,S900,Seletar Aerospace View,1.41284,103.86922,0.0
2019-01-01,S46,Sime Road,1.3416,103.8106,0.0
2019-01-01,S79,Somerset Road,1.3004,103.8372,0.2
2019-01-01,S92,South Buona Vista Road,1.2841,103.7886,19.199999999999996
2019-01-01,S88,Toa Payoh North,1.3427,103.8482,0.0
2019-01-01,S123,Towner Road,1.3214,103.8577,0.0
2019-01-01,S89,Tuas Road,1.31985,103.66162,44.6
2019-01-01,S115,Tuas South Avenue 3,1.29377,103.61843,15.999999999999998
2019-01-01,S82,Tuas West Road,1.3247,103.6351,17.2
2019-01-01,S24,Upper Changi Road North,1.3678,103.9826,0.0
2019-01-01,S69,Upper Peirce Reservoir Park,1.37,103.805,0.0
2019-01-01,S36,Upper Serangoon Road,1.3382,103.8657,0.0
2019-01-01,S08,Upper Thomson Road,1.3701,103.8271,0.0
2019-01-01,S116,West Coast Highway,1.281,103.754,26.599999999999998
2019-01-01,S100,Woodlands Road,1.4172,103.74855,0.0
2019-01-01,S215,GEYLANG EAST CENTRAL,1.32785,103.88899,0.0
2019-01-01,S122,Sembawang Road,1.41731,103.8249,0.0
2019-01-02,S105,Admiralty Road West,1.45817,103.79525,0.0
2019-01-02,S77,Alexandra Road,1.2937,103.8125,0.2
2019-01-02,S55,Buangkok Green,1.3837,103.886,0.0
2019-01-02,S64,Bukit Panjang Road,1.3824,103.7603,0.0
2019-01-02,S90,Bukit Timah Road,1.3191,103.8191,0.0
2019-01-02,S61,Chai Chee Street,1.323,103.9217,0.0
2019-01-02,S114,Choa Chu Kang Avenue 4,1.38,103.73,0.2
2019-01-02,S11,Choa Chu Kang Road,1.3746,103.6938,0.0
2019-01-02,S50,Clementi Road,1.3337,103.7768,0.0
2019-01-02,S107,East Coast Parkway,1.3135,103.9625,0.0
2019-01-02,S118,Handy Road,1.2994,103.8461,0.0
