day,station_id,station_name,latitude,longitude,aggregated_value
2018-01-01,S77,Alexandra Road,1.2937,103.8125,38.39999999999999
2018-01-01,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,55.79999999999997
2018-01-01,S117,Banyan Road,1.256,103.679,48.8
2018-01-01,S55,Buangkok Green,1.3837,103.886,49.599999999999966
2018-01-01,S64,Bukit Panjang Road,1.3824,103.7603,101.00000000000006
2018-01-01,S90,Bukit Timah Road,1.3191,103.8191,48.19999999999997
2018-01-01,S61,Chai Chee Street,1.323,103.9217,17.799999999999986
2018-01-01,S114,Choa Chu Kang Avenue 4,1.38,103.73,94.20000000000009
2018-01-01,S11,Choa Chu Kang Road,1.3746,103.6938,48.80000000000004
2018-01-01,S107,East Coast Parkway,1.3135,103.9625,17.400000000000002
2018-01-01,S118,Handy Road,1.2994,103.8461,37.8
2018-01-01,S120,Holland Road,1.30874,103.818,41.79999999999999
2018-01-01,S33,Jurong Pier Road,1.3081,103.71,9.0
2018-01-01,S71,Kent Ridge Road,1.2923,103.7815,54.99999999999999
2018-01-01,S43,Kim Chuan Road,1.3399,103.8878,32.199999999999974
2018-01-01,S66,Kranji Way,1.4387,103.7363,50.60000000000003
2018-01-01,S112,Lim Chu Kang Road,1.43854,103.70131,20.199999999999985
2018-01-01,S07,Lornie Road,1.3415,103.8334,56.19999999999997
2018-01-01,S40,Mandai Lake Road,1.4044,103.78962,91.60000000000002
2018-01-01,S113,Marine Parade Road,1.30648,103.9104,20.599999999999984
2018-01-01,S44,Nanyang Avenue,1.34583,103.68166,53.20000000000005
2018-01-01,S119,Nicoll Highway,1.30105,103.8666,17.8
2018-01-01,S121,Old Choa Chu Kang Road,1.37288,103.72244,83.6000000000001
2018-01-01,S29,Pasir Ris Drive 12,1.387,103.935,0.0
2018-01-01,S94,Pasir Ris Street 51,1.3662,103.9528,19.19999999999999
2018-01-01,S78,Poole Road,1.30703,103.89067,24.999999999999993
2018-01-01,S81,Punggol Central,1.4029,103.9092,38.79999999999999
2018-01-01,S111,Scotts Road,1.31055,103.8365,41.00000000000001
2018-01-01,S900,Seletar Aerospace View,1.41284,103.86922,43.99999999999998
2018-01-01,S122,Sembawang Road,1.41731,103.8249,92.80000000000001
2018-01-01,S84,Simei Avenue,1.3437,103.9444,7.600000000000001
2018-01-01,S79,Somerset Road,1.3004,103.8372,37.79999999999999
2018-01-01,S92,South Buona Vista Road,1.2841,103.7886,39.399999999999984
2018-01-01,S88,Toa Payoh North,1.3427,103.8482,50.79999999999996
2018-01-01,S123,Towner Road,1.3214,103.8577,44.39999999999999
2018-01-01,S89,Tuas Road,1.31985,103.66162,35.79999999999999
2018-01-01,S115,Tuas South Avenue 3,1.29377,103.61843,10.399999999999999
2018-01-01,S82,Tuas West Road,1.3247,103.6351,12.399999999999995
2018-01-01,S24,Upper Changi Road North,1.3678,103.9826,30.99999999999999
2018-01-01,S36,Upper Serangoon Road,1.3382,103.8657,48.19999999999998
2018-01-01,S08,Upper Thomson Road,1.3701,103.8271,22.0
2018-01-01,S116,West Coast Highway,1.281,103.754,40.19999999999997
2018-01-01,S100,Woodlands Road,1.4172,103.74855,79.80000000000011
2018-01-01,S91,Yishun Avenue 5,1.4301,103.8308,65.80000000000005
2018-01-01,S106,Pulau Ubin,1.4168,103.9673,20.799999999999983
2018-01-01,S69,Upper Peirce Reservoir Park,1.37,103.805,75.8
2018-01-01,S46,Sime Road,1.3416,103.8106,29.000000000000004
2018-01-01,S35,Old Toh Tuck Road,1.3329,103.7556,1.4
2018-01-01,S50,Clementi Road,1.3337,103.7768,24.2
2018-01-02,S77,Alexandra Road,1.2937,103.8125,29.599999999999998
2018-01-02,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,7.600000000000002
2018-01-02,S117,Banyan Road,1.256,103.679,3.2
2018-01-02,S55,Buangkok Green,1.3837,103.886,7.600000000000002
2018-01-02,S64,Bukit Panjang Road,1.3824,103.7603,0.6000000000000001
2018-01-02,S90,Bukit Timah Road,1.3191,103.8191,18.599999999999998
2018-01-02,S61,Chai Chee Street,1.323,103.9217,1.4000000000000001
2018-01-02,S114,Choa Chu Kang Avenue 4,1.38,103.73,0.0
2018-01-02,S11,Choa Chu Kang Road,1.3746,103.6938,6.6
2018-01-02,S107,East Coast Parkway,1.3135,103.9625,0.2
2018-01-02,S118,Handy Road,1.2994,103.8461,31.0
2018-01-02,S120,Holland Road,1.30874,103.818,23.399999999999995
2018-01-02,S33,Jurong Pier Road,1.3081,103.71,0.0
2018-01-02,S71,Kent Ridge Road,1.2923,103.7815,13.4
2018-01-02,S43,Kim Chuan Road,1.3399,103.8878,12.999999999999998
2018-01-02,S66,Kranji Way,1.4387,103.7363,1.8
2018-01-02,S112,Lim Chu Kang Road,1.43854,103.70131,2.6
2018-01-02,S07,Lornie Road,1.3415,103.8334,6.200000000000002
2018-01-02,S40,Mandai Lake Road,1.4044,103.78962,3.8000000000000007
2018-01-02,S113,Marine Parade Road,1.30648,103.9104,1.0
2018-01-02,S44,Nanyang Avenue,1.34583,103.68166,0.0
2018-01-02,S119,Nicoll Highway,1.30105,103.8666,9.600000000000001
2018-01-02,S121,Old Choa Chu Kang Road,1.37288,103.72244,0.0
2018-01-02,S94,Pasir Ris Street 51,1.3662,103.9528,5.6000000000000005
2018-01-02,S78,Poole Road,1.30703,103.89067,1.4
2018-01-02,S81,Punggol Central,1.4029,103.9092,2.6000000000000005
2018-01-02,S900,Seletar Aerospace View,1.41284,103.86922,8.2
2018-01-02,S122,Sembawang Road,1.41731,103.8249,16.999999999999996
2018-01-02,S84,Simei Avenue,1.3437,103.9444,0.0
2018-01-02,S79,Somerset Road,1.3004,103.8372,39.2
2018-01-02,S92,South Buona Vista Road,1.2841,103.7886,23.599999999999998
2018-01-02,S88,Toa Payoh North,1.3427,103.8482,12.2
2018-01-02,S123,Towner Road,1.3214,103.8577,11.399999999999995
2018-01-02,S89,Tuas Road,1.31985,103.66162,0.0
2018-01-02,S115,Tuas South Avenue 3,1.29377,103.61843,0.0
2018-01-02,S82,Tuas West Road,1.3247,103.6351,0.2
2018-01-02,S24,Upper Changi Road North,1.3678,103.9826,1.0
2018-01-02,S36,Upper Serangoon Road,1.3382,103.8657,8.4
2018-01-02,S116,West Coast Highway,1.281,103.754,2.800000000000001
2018-01-02,S91,Yishun Avenue 5,1.4301,103.8308,9.599999999999998
2018-01-02,S111,Scotts Road,1.31055,103.8365,29.4
2018-01-02,S08,Upper Thomson Road,1.3701,103.8271,0.6000000000000001
2018-01-02,S69,Upper Peirce Reservoir Park,1.37,103.805,3.8000000000000003
2018-01-02,S35,Old Toh Tuck Road,1.3329,103.7556,1.4
2018-01-02,S46,Sime Road,1.3416,103.8106,0.4
2018-01-02,S29,Pasir Ris Drive 12,1.387,103.935,0.0
2018-01-02,S106,Pulau Ubin,1.4168,103.9673,0.2
2018-01-02,S100,Woodlands Road,1.4172,103.74855,0.0
2018-01-03,S77,Alexandra Road,1.2937,103.8125,3.4000000000000004
2018-01-03,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,19.4
2018-01-03,S117,Banyan Road,1.256,103.679,0.0
2018-01-03,S55,Buangkok Green,1.3837,103.886,39.39999999999999
2018-01-03,S64,Bukit Panjang Road,1.3824,103.7603,0.0
2018-01-03,S90,Bukit Timah Road,1.3191,103.8191,47.20000000000001
2018-01-03,S61,Chai Chee Street,1.323,103.9217,30.799999999999997
2018-01-03,S114,Choa Chu Kang Avenue 4,1.38,103.73,0.0
2018-01-03,S11,Choa Chu Kang Road,1.3746,103.6938,15.6
2018-01-03,S50,Clementi Road,1.3337,103.7768,0.0
2018-01-03,S107,East Coast Parkway,1.3135,103.9625,19.999999999999996
2018-01-03,S118,Handy Road,1.2994,103.8461,32.6
2018-01-03,S120,Holland Road,1.30874,103.818,25.2
