day,station_id,station_name,latitude,longitude,total_rainfall
2024-01-01,S07,Lornie Road,1.3415,103.8334,11.799999999999999
2024-01-01,S08,Upper Thomson Road,1.3701,103.8271,10.599999999999996
2024-01-01,S104,Woodlands Avenue 9,1.44387,103.78538,0.6000000000000001
2024-01-01,S107,East Coast Parkway,1.3135,103.9625,36.00000000000001
2024-01-01,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,9.0
2024-01-01,S111,Scotts Road,1.31055,103.8365,7.000000000000002
2024-01-01,S112,Lim Chu Kang Road,1.43854,103.70131,9.2
2024-01-01,S113,Marine Parade Road,1.30648,103.9104,22.199999999999996
2024-01-01,S114,Choa Chu Kang Avenue 4,1.38,103.73,5.4
2024-01-01,S115,Tuas South Avenue 3,1.29377,103.61843,6.2
2024-01-01,S116,West Coast Highway,1.281,103.754,4.0
2024-01-01,S117,Banyan Road,1.256,103.679,11.600000000000001
2024-01-01,S118,Handy Road,1.2994,103.8461,8.6
2024-01-01,S119,Nicoll Highway,1.30105,103.8666,16.8
2024-01-01,S120,Holland Road,1.30874,103.818,6.600000000000001
2024-01-01,S121,Old Choa Chu Kang Road,1.37288,103.72244,5.8
2024-01-01,S123,Towner Road,1.3214,103.8577,7.000000000000003
2024-01-01,S201,S201,1.32311,103.76714,16.2
2024-01-01,S203,S203,1.29164,103.7702,0.0
2024-01-01,S207,S207,1.32485,103.95836,46.431
2024-01-01,S208,S208,1.3136,104.00317,0.0
2024-01-01,S209,S209,1.42111,103.84472,11.716
2024-01-01,S210,S210,1.44003,103.76904,10.05
2024-01-01,S211,S211,1.42918,103.75711,12.788999999999998
2024-01-01,S212,S212,1.31835,103.93574,37.60000000000001
2024-01-01,S213,S213,1.32427,103.8097,6.000000000000001
2024-01-01,S214,S214,1.29911,103.88289,14.183999999999997
2024-01-01,S215,GEYLANG EAST CENTRAL,1.32785,103.88899,15.225000000000001
2024-01-01,S216,S216,1.36019,103.85335,16.116
2024-01-01,S217,S217,1.35041,103.85526,13.592999999999998
2024-01-01,S218,S218,1.36491,103.75065,2.8560000000000003
2024-01-01,S219,S219,1.37999,103.87643,13.668
2024-01-01,S220,S220,1.38666,103.89797,14.412999999999997
2024-01-01,S221,S221,1.35691,103.89088,17.820000000000007
2024-01-01,S222,S222,1.28987,103.82364,8.241000000000001
2024-01-01,S223,S223,1.29984,103.80264,6.09
2024-01-01,S224,S224,1.34392,103.98409,47.63699999999999
2024-01-01,S226,S226,1.27472,103.80389,3.4
2024-01-01,S227,S227,1.43944,103.80389,9.696
2024-01-01,S228,S228,1.34703,103.70073,8.514
2024-01-01,S229,S229,1.35167,103.72195,4.466
2024-01-01,S230,S230,1.30167,103.76444,1.9999999999999998
2024-01-01,S24,Upper Changi Road North,1.3678,103.9826,49.60000000000001
2024-01-01,S33,Jurong Pier Road,1.3081,103.71,10.799999999999997
2024-01-01,S35,Old Toh Tuck Road,1.3329,103.7556,7.4
2024-01-01,S40,Mandai Lake Road,1.4044,103.78962,5.000000000000001
2024-01-01,S43,Kim Chuan Road,1.3399,103.8878,17.000000000000004
