day,station_id,station_name,latitude,longitude,total_rainfall
2025-01-01,S06,Paya Lebar,1.3524,103.9007,5.4
2025-01-01,S07,Lornie Road,1.3415,103.8334,0.4
2025-01-01,S08,Upper Thomson Road,1.3701,103.8271,7.000000000000001
2025-01-01,S104,Woodlands Avenue 9,1.44387,103.78538,19.400000000000002
2025-01-01,S106,Pulau Ubin,1.4168,103.9673,0.0
2025-01-01,S107,East Coast Parkway,1.3135,103.9625,8.4
2025-01-01,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,9.6
2025-01-01,S111,Scotts Road,1.31055,103.8365,3.4
2025-01-01,S112,Lim Chu Kang Road,1.43854,103.70131,22.799999999999997
2025-01-01,S113,Marine Parade Road,1.30648,103.9104,0.0
2025-01-01,S115,Tuas South Avenue 3,1.29377,103.61843,1.2
2025-01-01,S116,West Coast Highway,1.281,103.754,11.2
2025-01-01,S117,Banyan Road,1.256,103.679,0.0
2025-01-01,S119,Nicoll Highway,1.30105,103.8666,1.4
2025-01-01,S121,Old Choa Chu Kang Road,1.37288,103.72244,0.0
2025-01-01,S123,Towner Road,1.3214,103.8577,0.0
2025-01-01,S201,Clementi Park,1.32311,103.76714,1.4000000000000001
2025-01-01,S203,Pasir Panjang,1.29164,103.7702,15.677999999999999
2025-01-01,S207,Bedok Road,1.32485,103.95836,7.034999999999999
2025-01-01,S208,Changi East Close,1.3136,104.00317,10.812000000000001
2025-01-01,S209,Yishun Ring Road,1.42111,103.84472,39.995999999999995
2025-01-01,S210,Woodlands Centre,1.44003,103.76904,34.371
2025-01-01,S211,Kranji Road,1.42918,103.75711,39.788000000000004
2025-01-01,S213,Coronation Walk,1.32427,103.8097,3.4
2025-01-01,S214,Tanjong Rhu,1.29911,103.88289,0.0
2025-01-01,S215,Geylang East Central,1.32785,103.88899,0.203
2025-01-01,S216,Ang Mo Kio Avenue 10,1.36019,103.85335,5.304
2025-01-01,S217,Bishan Street 13,1.35041,103.85526,1.9700000000000002
2025-01-01,S218,Bukit Batok Street 34,1.36491,103.75065,0.0
2025-01-01,S219,Yio Chu Kang Road,1.37999,103.87643,15.477
2025-01-01,S220,Compassvale Lane,1.38666,103.89797,11.570999999999998
2025-01-01,S221,Hougang Avenue 1,1.35691,103.89088,5.5440000000000005
2025-01-01,S222,Henderson Road,1.28987,103.82364,18.894000000000002
2025-01-01,S223,Margaret Drive,1.29984,103.80264,18.473000000000003
2025-01-01,S224,Airport Boulevard,1.34392,103.98409,0.0
2025-01-01,S226,Malan Road,1.27472,103.80389,19.8
2025-01-01,S227,Woodlands Drive 62,1.43944,103.80389,29.088000000000005
2025-01-01,S228,Jurong West Street 73,1.34703,103.70073,0.9900000000000001
2025-01-01,S229,Jurong West Street 42,1.35167,103.72195,0.203
2025-01-01,S230,West Coast Road,1.30167,103.76444,22.0
2025-01-01,S24,Upper Changi Road North,1.3678,103.9826,4.2
2025-01-01,S29,Pasir Ris Drive 12,1.387,103.935,8.399999999999999
2025-01-01,S33,Jurong Pier Road,1.3081,103.71,14.0
2025-01-01,S35,Old Toh Tuck Road,1.3329,103.7556,0.4
2025-01-01,S40,Mandai Lake Road,1.4044,103.78962,16.6
2025-01-01,S43,Kim Chuan Road,1.3399,103.8878,2.2
2025-01-01,S50,Clementi Road,1.3337,103.7768,0.4
2025-01-01,S60,Sentosa,1.25,103.8279,11.0
2025-01-01,S64,Bukit Panjang Road,1.3824,103.7603,2.0
2025-01-01,S66,Kranji Way,1.4387,103.7363,41.599999999999994
2025-01-01,S69,Upper Peirce Reservoir Park,1.37,103.805,1.9999999999999998
2025-01-01,S71,Kent Ridge Road,1.2923,103.7815,28.4
2025-01-01,S77,Alexandra Road,1.2937,103.8125,27.4
2025-01-01,S78,Poole Road,1.30703,103.89067,0.2
2025-01-01,S79,Somerset Road,1.3004,103.8372,5.800000000000001
2025-01-01,S81,Punggol Central,1.4029,103.9092,13.999999999999998
2025-01-01,S84,Simei Avenue,1.3437,103.9444,2.4000000000000004
2025-01-01,S88,Toa Payoh North,1.3427,103.8482,1.4000000000000001
2025-01-01,S89,Tuas Road,1.31985,103.66162,13.999999999999998
2025-01-01,S90,Bukit Timah Road,1.3191,103.8191,3.8000000000000007
2025-01-01,S900,Seletar Aerospace View,1.41284,103.86922,22.4
2025-01-01,S92,South Buona Vista Road,1.2841,103.7886,37.19999000000001
2025-01-01,S94,Pasir Ris Street 51,1.3662,103.9528,11.0
2025-01-02,S06,Paya Lebar,1.3524,103.9007,0.0
2025-01-02,S07,Lornie Road,1.3415,103.8334,0.0
2025-01-02,S08,Upper Thomson Road,1.3701,103.8271,0.4
2025-01-02,S104,Woodlands Avenue 9,1.44387,103.78538,3.4
2025-01-02,S106,Pulau Ubin,1.4168,103.9673,0.0
2025-01-02,S107,East Coast Parkway,1.3135,103.9625,0.0
2025-01-02,S109,Ang Mo Kio Avenue 5,1.3764,103.8492,0.2
2025-01-02,S111,Scotts Road,1.31055,103.8365,0.0
2025-01-02,S112,Lim Chu Kang Road,1.43854,103.70131,10.799999999999999
2025-01-02,S113,Marine Parade Road,1.30648,103.9104,0.0
2025-01-02,S115,Tuas South Avenue 3,1.29377,103.61843,0.2
2025-01-02,S116,West Coast Highway,1.281,103.754,21.599999999999998
2025-01-02,S117,Banyan Road,1.256,103.679,2.2
2025-01-02,S119,Nicoll Highway,1.30105,103.8666,0.0
2025-01-02,S121,Old Choa Chu Kang Road,1.37288,103.72244,5.6000000000000005
2025-01-02,S123,Towner Road,1.3214,103.8577,0.0
2025-01-02,S201,Clementi Park,1.32311,103.76714,3.1999999999999997
2025-01-02,S203,Pasir Panjang,1.29164,103.7702,13.466999999999999
2025-01-02,S207,Bedok Road,1.32485,103.95836,0.0
2025-01-02,S208,Changi East Close,1.3136,104.00317,0.0
2025-01-02,S209,Yishun Ring Road,1.42111,103.84472,0.0
2025-01-02,S210,Woodlands Centre,1.44003,103.76904,5.627999999999999
2025-01-02,S211,Kranji Road,1.42918,103.75711,4.872
2025-01-02,S213,Coronation Walk,1.32427,103.8097,0.4
2025-01-02,S214,Tanjong Rhu,1.29911,103.88289,0.0
2025-01-02,S215,Geylang East Central,1.32785,103.88899,0.203
2025-01-02,S216,Ang Mo Kio Avenue 10,1.36019,103.85335,0.0
2025-01-02,S217,Bishan Street 13,1.35041,103.85526,0.0
2025-01-02,S218,Bukit Batok Street 34,1.36491,103.75065,3.876
2025-01-02,S219,Yio Chu Kang Road,1.37999,103.87643,0.0
2025-01-02,S220,Compassvale Lane,1.38666,103.89797,0.0
2025-01-02,S221,Hougang Avenue 1,1.35691,103.89088,0.0
2025-01-02,S222,Henderson Road,1.28987,103.82364,0.804
2025-01-02,S223,Margaret Drive,1.29984,103.80264,3.8569999999999998
2025-01-02,S224,Airport Boulevard,1.34392,103.98409,0.0
2025-01-02,S226,Malan Road,1.27472,103.80389,6.6000000000000005
2025-01-02,S227,Woodlands Drive 62,1.43944,103.80389,1.2120000000000002
2025-01-02,S228,Jurong West Street 73,1.34703,103.70073,12.672000000000002
2025-01-02,S229,Jurong West Street 42,1.35167,103.72195,6.090000000000001
2025-01-02,S230,West Coast Road,1.30167,103.76444,13.8
2025-01-02,S24,Upper Changi Road North,1.3678,103.9826,0.2
2025-01-02,S29,Pasir Ris Drive 12,1.387,103.935,0.0
2025-01-02,S33,Jurong Pier Road,1.3081,103.71,14.400000000000002
2025-01-02,S35,Old Toh Tuck Road,1.3329,103.7556,5.8
2025-01-02,S40,Mandai Lake Road,1.4044,103.78962,3.0
2025-01-02,S43,Kim Chuan Road,1.3399,103.8878,0.0
2025-01-02,S50,Clementi Road,1.3337,103.7768,2.4000000000000004
2025-01-02,S60,Sentosa,1.25,103.8279,6.2
2025-01-02,S64,Bukit Panjang Road,1.3824,103.7603,2.6000000000000005
2025-01-02,S66,Kranji Way,1.4387,103.7363,8.0
2025-01-02,S69,Upper Peirce Reservoir Park,1.37,103.805,0.2
2025-01-02,S71,Kent Ridge Road,1.2923,103.7815,12.999999999999998
2025-01-02,S77,Alexandra Road,1.2937,103.8125,1.7999999999999998
2025-01-02,S78,Poole Road,1.30703,103.89067,0.0
2025-01-02,S79,Somerset Road,1.3004,103.8372,0.0
2025-01-02,S81,Punggol Central,1.4029,103.9092,0.0
2025-01-02,S84,Simei Avenue,1.3437,103.9444,0.0
2025-01-02,S88,Toa Payoh North,1.3427,103.8482,0.0
